사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,2호선,33,교대(법원.검찰청),8,0,2301,7082,11282,24589,23697,50070,34802,149977,27565,143379,26211,67644,31883,55373,34834,50982,42599,54082,51082,49208,56593,46497,61644,48175,98134,60121,143622,74317,64879,42325,50525,22152,54248,19732,44749,17951,15442,12576,41,418,0,0,1,1,0,0
2021-11,2호선,34,서초,61,0,1439,4231,10420,19563,17410,47364,25814,119056,26401,92892,19592,39882,24602,28586,23832,22578,29795,24737,31671,22373,36914,19814,44129,21168,71644,22935,102192,24612,44199,16044,27081,9296,27881,8748,17421,8815,5461,5097,9,62,0,0,0,0,0,0
2021-11,2호선,35,방배,10,0,2260,2824,8827,10988,21280,25660,31710,75885,24798,50720,17973,25347,19023,22889,21853,22424,23798,24299,24608,23441,28261,22934,33445,24545,45081,30873,68721,39177,28599,27115,20699,16651,21244,15089,16711,15163,5862,8642,11,269,0,0,0,0,0,0
2021-11,2호선,36,사당,78,6,11058,3550,24023,28283,67943,41223,101842,65307,71041,50945,44903,40489,40371,47185,46963,47502,49142,47554,51520,47092,52905,56205,57571,75465,71051,110284,91887,162555,60680,109758,53983,61664,60584,56499,59483,56453,25801,38613,109,3668,0,0,0,0,0,0
2021-11,2호선,37,낙성대(강감찬),17,2,10751,1888,25131,9145,76034,17422,126536,38085,78387,30365,40793,24079,34746,21400,36976,25244,36599,26123,33265,28748,33704,33406,37617,41199,45922,57873,49638,94953,26785,84923,20189,51821,19142,48093,14523,51274,5913,29170,15,2364,0,0,0,0,0,0
2021-11,2호선,38,서울대입구(관악구청),4611,35,27149,2518,40918,14062,122015,28425,181874,65432,118533,61951,65319,50265,57333,43858,63931,48360,63675,55510,58426,55184,63319,61723,72126,77341,83917,106254,90153,173011,52773,149419,43076,84058,44711,74850,42390,76908,16074,46575,11,14536,0,0,0,0,0,0
2021-11,2호선,39,봉천,54,0,14955,1182,27540,6915,77109,11080,121875,25854,71307,19700,37076,18274,30367,18933,32221,20728,31582,23835,27144,25279,26233,32618,28799,39035,29662,52495,32972,83514,17701,71142,13620,42035,12787,39457,9713,36399,3294,22116,2,993,0,0,0,0,0,0
2021-11,2호선,40,신림,316,20,40053,3753,75013,19626,199033,33448,314323,62056,183802,50809,95821,43161,77218,45365,82617,50792,77452,59900,69875,63913,69348,81703,78158,101733,88959,142459,86882,250516,53869,218845,44524,130527,42293,120983,38136,112493,15632,75070,41,2472,0,2,1,1,0,0
2021-11,2호선,41,신대방,189,2,24910,2084,35249,8820,85669,18625,131498,31890,77998,21531,41664,17806,33886,18480,33820,21219,32754,23242,28786,27772,28108,37185,31498,43816,36186,61682,40865,94665,22045,81214,15304,53151,11918,52963,9564,51660,3684,31473,8,560,0,0,0,0,0,0
2021-11,2호선,42,구로디지털단지,302,10,38530,5031,51168,22705,131172,81205,184717,255841,111439,153739,62525,58836,55924,42996,60284,45058,62179,54024,56582,53409,60421,62240,74187,74699,130963,106197,234459,162078,108470,130502,60961,79949,50623,75744,41227,73620,14826,48156,19,923,0,0,0,0,0,0
2021-11,2호선,43,대림(구로구청),596,15,33162,3587,29623,11491,63621,21681,91473,57106,59222,33940,33597,27192,28875,28140,30592,27695,30940,29472,28619,30702,29423,36996,34718,43680,43531,59849,52310,70138,24914,51619,17278,35231,13498,41971,10133,41467,4000,21742,17,1216,0,0,0,0,0,0
2021-11,2호선,44,신도림,3645,38,33063,5010,48769,17202,129116,36195,136913,108448,85689,61355,55543,57998,53596,55664,61651,58325,63905,62604,62553,59819,65802,67634,74513,79160,94810,106759,122468,170207,67511,122065,55351,67720,56379,63855,48193,63982,15790,51821,74,15750,0,1,0,0,0,0
2021-11,2호선,45,문래,8,1,3617,2221,11837,11993,40943,32331,48006,126581,26217,58457,18155,23643,18310,19100,20400,22424,22573,22509,22390,21503,24844,23069,32619,26466,57635,34441,106392,54647,36495,39028,23730,19673,24436,17487,19752,15522,7506,9752,19,1050,0,0,0,0,0,0
2021-11,2호선,46,영등포구청,37,0,5392,2952,11775,14160,38648,34638,48425,126852,29333,56986,22635,27556,23533,24547,26416,23931,26621,26510,28444,25332,30911,25528,36432,28969,57109,35926,107549,53833,36656,36986,25719,20419,24721,18188,18333,16892,6428,12301,25,1490,0,0,0,0,0,0
2021-11,2호선,47,당산,62,1,6430,2975,16195,12144,44025,27970,55749,74220,33904,37041,22426,18704,21997,17355,22672,19616,22551,21272,20783,21318,22969,24469,26662,30437,39329,44281,59769,73579,26063,48597,18986,30154,18845,28831,16904,26545,6282,17978,26,1946,0,0,0,0,0,0
2021-11,2호선,48,합정,55,4,7669,3325,16813,13188,42592,32754,56005,92123,36566,81904,25859,44983,26081,43156,31125,46710,35866,52426,37766,47866,41741,47489,50456,55474,70535,75210,113140,108838,73546,73218,54394,35737,61372,29444,58120,25742,24143,18299,56,2601,1,2,0,0,0,0
2021-11,2호선,49,홍대입구,597,15,17654,3166,23316,14230,58051,33317,76468,96811,48418,108607,35906,73825,41566,83323,51284,103910,60282,114963,66003,112328,79806,114071,101706,124469,133902,152072,162353,200044,121666,132392,115832,66214,141172,49141,147182,41643,61011,30132,496,6611,2,1,0,0,0,0
2021-11,2호선,50,신촌,54,4,5729,2432,13057,15334,33212,31494,48879,74396,33862,80519,31719,53147,38322,48978,46246,53979,47564,60310,50515,54699,58766,51208,70503,53883,86032,72803,83018,104314,56897,64354,57001,34343,61195,29230,61653,26734,25256,18730,55,846,0,0,0,0,0,0
2021-11,2호선,51,이대,31,0,3008,843,7758,7647,23669,11642,32996,35231,19084,32597,14124,22209,15739,18862,22319,22743,21061,25550,19554,20676,23604,19939,29027,20906,39793,26898,33846,38986,19989,27135,16093,16292,16347,16090,12783,16360,3928,12089,1,668,0,1,0,0,0,0
2021-11,2호선,52,아현,24,0,4285,1126,10179,6704,26993,11088,38395,20592,21679,12845,15543,10033,14217,9541,15219,11512,14699,11950,13472,13266,15136,14613,21322,16581,20592,22587,19233,32283,11520,23670,7842,14365,6230,14030,4578,13160,1584,8548,5,249,1,4,0,0,0,0
2021-11,2호선,53,충정로(경기대입구),15,0,3001,996,6042,6227,14911,19542,21496,58448,13509,28464,10119,13097,10871,10063,11987,10645,12120,12323,12572,10533,13470,11365,16956,11990,27548,15427,46665,21334,13901,14350,9491,8848,9038,8964,6616,8335,2364,5956,11,304,2,3,0,0,0,0
2021-11,2호선,54,용답,1,0,2444,190,3146,914,7449,1658,12077,3701,6979,3217,4371,2568,3836,2568,4371,2994,4294,3459,3941,3469,4083,4248,4714,5598,5241,6596,4036,10249,2248,7006,1408,4419,1087,5378,981,4997,367,3478,0,2,0,0,0,0,0,0
2021-11,2호선,55,신답,5,2,970,134,1791,457,6113,898,10536,1684,4792,945,2183,1043,1929,1178,2008,1415,1877,1449,1616,1680,1645,2655,1725,3263,2064,4440,2222,9847,910,6835,554,3291,492,3342,418,2721,150,2007,0,16,0,0,0,0,0,0
2021-11,2호선,56,신설동,46,2,1229,239,1209,1782,3575,5420,6933,12917,4361,8476,3787,6832,4566,6910,5592,6639,6833,6877,7604,6177,8291,5329,8836,4273,10318,4949,11125,6091,4415,4075,2596,2641,2182,2270,1510,2198,463,1788,4,213,0,0,0,0,0,0
2021-11,2호선,57,도림천,3,0,365,307,1228,802,3183,3741,3495,6357,1933,2431,1988,1472,1479,1124,2128,1785,1631,1327,1860,1614,2318,1368,2933,1931,3064,2239,3914,2826,1985,2362,709,1434,732,1428,286,1190,150,830,3,79,0,1,0,0,0,0
2021-11,2호선,58,양천구청,32,1,4615,890,10708,2257,31503,4893,30146,9711,15686,4794,10609,4312,9549,4827,9834,6451,8650,6986,7439,7661,7386,10075,8188,12554,9436,17957,9153,28866,3778,24947,2494,13022,2312,12557,2026,10773,516,7768,4,899,0,0,0,0,0,0
2021-11,2호선,59,신정네거리,56,0,8251,822,15558,3165,48366,5359,45586,12051,24012,7905,16172,7349,14474,8300,14987,9945,13447,11272,11854,12070,11341,15695,13247,19509,13128,28133,11913,46496,6697,36612,5011,18163,3967,17324,3321,15763,1103,10478,12,1049,0,0,0,0,0,0
2021-11,2호선,60,용두(동대문구청),64,0,1033,149,1666,918,4887,2393,8678,5863,4612,3182,3123,3017,3339,3303,3695,2988,3575,3687,3905,3888,4221,4352,4451,3805,4677,4463,5265,7850,2245,5516,1351,2668,1286,2669,690,2052,204,1574,0,32,2,0,0,0,0,0
